"5d00fecdab0ad455e9fc43ef","成都市金牛一环路北三段100号","[ 30.6897699751645, 104.08676980331 ]"
"5d00fecdab0ad455e9fc43f1","成都市金牛解放路一段20号","[ 30.6912603522132, 104.091565853733 ]"
"5d00fecdab0ad455e9fc43f3","成都市金牛金科西路58号","[ 30.7271516247155, 104.010672177745 ]"
"5d00fecdab0ad455e9fc43f5","成都市金牛西三环金牛大道金周路交汇处","[ 30.7270256208061, 104.001287869337 ]"
"5d00fecdab0ad455e9fc43f7","成都市金牛沙湾路220号","[ 30.6949857477679, 104.057433724389 ]"
"5d00fecdab0ad455e9fc43f9","成都市武侯红牌楼北街31号","[ 30.6421224411107, 104.042631584834 ]"
"5d00fecdab0ad455e9fc43fb","成都市武侯中环路与永顺路交汇处","[ 30.6424767637779, 104.029051763598 ]"
"5d00fecdab0ad455e9fc43fd","成都市武侯武阳大道二段261号","[ 30.6358558154444, 104.024697002164 ]"
"5d00feceab0ad455e9fc43ff","成都市武侯高攀西巷3号, 长荣路66号","[ 30.6185438495845, 104.084823015372 ]"
"5d00feceab0ad455e9fc4401","成都市武侯武侯立交聚龙路168号（武侯万达广场旁）","[ 30.6268517500627, 104.103649341131 ]"
"5d00feceab0ad455e9fc4403","成都市成华成华区建设南路50号","[ 30.6758932910027, 104.128241544223 ]"
"5d00feceab0ad455e9fc4405","成都市成华白龙江路与大巴山路交汇处","[ 30.6395441305082, 104.145935103927 ]"
"5d00feceab0ad455e9fc4407","成都市成华成华区白龙江路与大巴山路交汇处","[ 30.6395441305082, 104.145935103927 ]"
"5d00feceab0ad455e9fc4409","成都市成华建设南路50号","[ 30.6758932910027, 104.128241544223 ]"
"5d00feceab0ad455e9fc440b","成都市成华荆竹东路与东荆路首创花与城一期","[ 30.717157031398, 104.129007088151 ]"
"5d00feceab0ad455e9fc440d","成都市成华荆竹东路与东荆路首创花与城一期","[ 30.717157031398, 104.129007088151 ]"
"5d00feceab0ad455e9fc440f","成都市成华荆竹东路与东荆路首创花与城二期","[ 30.717157031398, 104.129007088151 ]"
"5d00fecfab0ad455e9fc4411","成都市成华地铁3号线（动物园站）海滨公园旁","[ 30.7154212146862, 104.124768633026 ]"
"5d00fecfab0ad455e9fc4413","成都市成华杉板桥南五路199号（蓝光东方天地旁）","[ 30.6664387982251, 104.136460671712 ]"
"5d00fecfab0ad455e9fc4415","成都市成华二仙桥北路3号","[ 30.6891395315445, 104.135566465579 ]"
"5d00fecfab0ad455e9fc4417","成都市成华环内昭觉寺横路（中国电信旁）","[ 30.7052410088675, 104.111122862092 ]"
"5d00fecfab0ad455e9fc4419","成都市龙泉驿菱西路9号","[ 30.5626978409996, 104.281396964356 ]"
"5d00fecfab0ad455e9fc441b","成都市龙泉驿北泉路龙泉二中旁","[ 30.5714788106436, 104.264992648116 ]"
"5d00fecfab0ad455e9fc441d","成都市郫都国宁东路299号","[ 30.7558489261148, 103.987503327269 ]"
"5d00fecfab0ad455e9fc441f","成都市郫都德源镇德源南路一段229号（稻香路口旁)","[ 30.7805125310607, 103.85531189627 ]"
"5d00fecfab0ad455e9fc4421","成都市高新天府一街1333号（高新七中旁）","[ 30.5665427597746, 104.073850850183 ]"
"5d00fed0ab0ad455e9fc4423","成都市高新交子大道33号","[ 30.5873062533057, 104.07000465751 ]"
"5d00fed0ab0ad455e9fc4425","成都市高新剑南大道中段利通时代晶座","[ 30.5501195583423, 104.053308760284 ]"
"5d00fed0ab0ad455e9fc4427","成都市高新天府三街1599号（天府三街与南华路交汇处）","[ 30.5529336852963, 104.06610441092 ]"
"5d00fed0ab0ad455e9fc4429","成都市高新天府一街与益州大道交汇处（蒙彼利埃小学旁）","[ 30.570838249202, 104.056661535583 ]"
"5d00fed0ab0ad455e9fc442b","成都市高新天府二街368号","[ 30.5578643736798, 104.067087140874 ]"
"5d00fed0ab0ad455e9fc442d","成都市青羊光华大道光华南二路238号（树德中学旁）","[ 30.6735114740691, 103.976175318904 ]"
